"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice breyer","concurring",FALSE,"Johnson v. California",2005-06-13,"545 U.S. 162","https://www.courtlistener.com/opinion/799972/johnson-v-california/","https://www.courtlistener.com/api/rest/v3/clusters/799972/",2005,"2004-057",2,8,1
"justice thomas","dissenting",FALSE,"Johnson v. California",2005-06-13,"545 U.S. 162","https://www.courtlistener.com/opinion/799972/johnson-v-california/","https://www.courtlistener.com/api/rest/v3/clusters/799972/",2005,"2004-057",2,8,1
"justice scalia","majority",FALSE,"Wallace v. Kato",2007-02-21,"127 S. Ct. 1091","https://www.courtlistener.com/opinion/145756/wallace-v-kato/","https://www.courtlistener.com/api/rest/v3/clusters/145756/",2007,NA,NA,NA,NA
"justice stevens","concurring",FALSE,"Wallace v. Kato",2007-02-21,"127 S. Ct. 1091","https://www.courtlistener.com/opinion/145756/wallace-v-kato/","https://www.courtlistener.com/api/rest/v3/clusters/145756/",2007,NA,NA,NA,NA
"justice breyer","dissenting",FALSE,"Wallace v. Kato",2007-02-21,"127 S. Ct. 1091","https://www.courtlistener.com/opinion/145756/wallace-v-kato/","https://www.courtlistener.com/api/rest/v3/clusters/145756/",2007,NA,NA,NA,NA
"justice souter","majority",FALSE,"Johnson v. De Grandy",1994-06-30,"512 U.S. 997","https://www.courtlistener.com/opinion/117876/johnson-v-de-grandy/","https://www.courtlistener.com/api/rest/v3/clusters/117876/",1994,"1993-096",2,7,2
"justice o'connor","concurring",FALSE,"Johnson v. De Grandy",1994-06-30,"512 U.S. 997","https://www.courtlistener.com/opinion/117876/johnson-v-de-grandy/","https://www.courtlistener.com/api/rest/v3/clusters/117876/",1994,"1993-096",2,7,2
"justice thomas","dissenting",FALSE,"Johnson v. De Grandy",1994-06-30,"512 U.S. 997","https://www.courtlistener.com/opinion/117876/johnson-v-de-grandy/","https://www.courtlistener.com/api/rest/v3/clusters/117876/",1994,"1993-096",2,7,2
"justice blackmun","majority",FALSE,"Baldwin v. Fish and Game Comm'n of Mont.",1978-05-23,"436 U.S. 371","https://www.courtlistener.com/opinion/109868/baldwin-v-fish-and-game-commn-of-mont/","https://www.courtlistener.com/api/rest/v3/clusters/109868/",1978,"1977-090",1,6,3
"justice burger","concurring",FALSE,"Baldwin v. Fish and Game Comm'n of Mont.",1978-05-23,"436 U.S. 371","https://www.courtlistener.com/opinion/109868/baldwin-v-fish-and-game-commn-of-mont/","https://www.courtlistener.com/api/rest/v3/clusters/109868/",1978,"1977-090",1,6,3
"justice brennan","dissenting",FALSE,"Baldwin v. Fish and Game Comm'n of Mont.",1978-05-23,"436 U.S. 371","https://www.courtlistener.com/opinion/109868/baldwin-v-fish-and-game-commn-of-mont/","https://www.courtlistener.com/api/rest/v3/clusters/109868/",1978,"1977-090",1,6,3
"justice blackmun","majority",FALSE,"Relford v. Commandant, US Disciplinary Barracks, Fort Leavenworth",1971-02-24,"401 U.S. 355","https://www.courtlistener.com/opinion/108280/relford-v-commandant-us-disciplinary-barracks-fort-leavenworth/","https://www.courtlistener.com/api/rest/v3/clusters/108280/",1971,"1970-052",1,9,0
"justice ginsburg","majority",FALSE,"UNUM Life Ins. Co. of America v. Ward",1999-04-20,"526 U.S. 358","https://www.courtlistener.com/opinion/118280/unum-life-ins-co-of-america-v-ward/","https://www.courtlistener.com/api/rest/v3/clusters/118280/",1999,"1998-046",2,9,0
"justice brennan","concurring",TRUE,"Selvage v. Collins",1990-02-21,"494 U.S. 108","https://www.courtlistener.com/opinion/112377/selvage-v-collins/","https://www.courtlistener.com/api/rest/v3/clusters/112377/",1990,"1989-033",2,9,0
"justice powell","majority",FALSE,"Doyle v. Ohio",1976-06-17,"426 U.S. 610","https://www.courtlistener.com/opinion/109491/doyle-v-ohio/","https://www.courtlistener.com/api/rest/v3/clusters/109491/",1976,"1975-135",2,6,3
"justice stevens","dissenting",FALSE,"Doyle v. Ohio",1976-06-17,"426 U.S. 610","https://www.courtlistener.com/opinion/109491/doyle-v-ohio/","https://www.courtlistener.com/api/rest/v3/clusters/109491/",1976,"1975-135",2,6,3
"justice brennan","majority",FALSE,"Louisiana Pub. Serv. Comm'n v. FCC",1986-05-27,"476 U.S. 355","https://www.courtlistener.com/opinion/111672/louisiana-pub-serv-commn-v-fcc/","https://www.courtlistener.com/api/rest/v3/clusters/111672/",1986,"1985-088",1,5,2
"justice burger","majority",FALSE,"Chappell v. Wallace",1983-06-13,"462 U.S. 296","https://www.courtlistener.com/opinion/110960/chappell-v-wallace/","https://www.courtlistener.com/api/rest/v3/clusters/110960/",1983,"1982-104",2,9,0
"justice scalia","majority",FALSE,"Jama v. Immigration and Customs Enforcement",2005-01-12,"543 U.S. 335","https://www.courtlistener.com/opinion/137740/jama-v-immigration-and-customs-enforcement/","https://www.courtlistener.com/api/rest/v3/clusters/137740/",2005,"2004-015",1,5,4
"justice souter","dissenting",FALSE,"Jama v. Immigration and Customs Enforcement",2005-01-12,"543 U.S. 335","https://www.courtlistener.com/opinion/137740/jama-v-immigration-and-customs-enforcement/","https://www.courtlistener.com/api/rest/v3/clusters/137740/",2005,"2004-015",1,5,4
